points_from,points_to,juror_a_ranking,juror_b_ranking,juror_c_ranking,juror_d_ranking,juror_e_ranking,jury_rank,televote_rank,jury_points,televote_points
France,Bulgaria,14,12,14,11,13,15,16,0,0
France,Croatia,7,14,15,14,4,11,15,0,0
France,Denmark,15,7,8,13,9,12,14,0,0
France,Greece,3,1,7,6,1,1,10,12,1
France,Iceland,6,6,2,7,14,7,8,4,3
France,Latvia,13,9,12,9,15,14,12,0,0
France,Lithuania,16,8,6,12,6,9,5,2,6
France,Moldova,11,15,16,4,12,13,4,0,7
France,Netherlands,2,11,3,8,2,3,7,8,4
France,Norway,4,10,5,16,8,8,9,3,2
France,Portugal,8,4,10,1,5,5,3,6,8
France,Slovenia,17,16,13,15,16,16,13,0,0
France,Switzerland,5,3,11,5,3,6,17,5,0
France,Ukraine,9,2,1,2,10,2,2,10,10
Greece,Albania,9,7,1,5,1,1,1,12,12
Greece,Armenia,10,5,8,8,9,11,3,0,8
Greece,Austria,16,8,10,3,8,9,9,2,2
Greece,Bulgaria,7,2,12,2,2,2,10,10,1
Greece,Croatia,2,1,14,13,4,3,11,8,0
Greece,Denmark,4,10,11,6,13,12,12,0,0
Greece,Iceland,8,9,13,12,16,15,14,0,0
Greece,Latvia,14,4,6,4,10,7,13,4,0
Greece,Lithuania,15,12,3,15,15,14,6,0,5
Greece,Moldova,1,3,5,9,14,4,5,7,6
Greece,Netherlands,5,16,2,16,3,5,7,6,4
Greece,Norway,3,15,16,11,5,10,4,1,7
Greece,Portugal,13,14,4,1,11,6,8,5,3
Greece,Slovenia,12,11,9,14,12,16,16,0,0
Greece,Switzerland,11,6,15,10,7,13,15,0,0
Greece,Ukraine,6,13,7,7,6,8,2,3,10
Iceland,Albania,8,15,10,14,16,14,16,0,0
Iceland,Armenia,9,5,4,12,10,8,8,3,3
Iceland,Austria,6,11,15,10,14,11,7,0,4
Iceland,Bulgaria,14,12,8,13,12,13,12,0,0
Iceland,Croatia,12,10,9,11,13,12,14,0,0
Iceland,Denmark,13,9,13,8,7,10,5,1,6
Iceland,Greece,4,14,11,7,6,9,13,2,0
Iceland,Latvia,5,3,14,9,8,7,11,4,0
Iceland,Lithuania,11,8,3,1,3,3,6,8,5
Iceland,Moldova,10,13,16,16,11,15,4,0,7
Iceland,Netherlands,1,6,7,6,5,4,3,7,8
Iceland,Norway,2,1,1,4,1,1,2,12,10
Iceland,Portugal,7,7,6,3,2,5,9,6,2
Iceland,Slovenia,16,16,12,15,15,16,15,0,0
Iceland,Switzerland,15,4,5,5,9,6,10,5,1
Iceland,Ukraine,3,2,2,2,4,2,1,10,12
Italy,Albania,11,11,5,17,11,14,3,0,8
Italy,Armenia,8,14,6,1,2,3,4,8,7
Italy,Austria,13,10,9,10,3,8,9,3,2
Italy,Bulgaria,6,8,10,16,15,15,16,0,0
Italy,Croatia,14,16,7,4,4,7,14,4,0
Italy,Denmark,16,6,11,12,12,17,12,0,0
Italy,Greece,1,1,8,13,1,1,8,12,3
Italy,Iceland,15,5,14,14,10,16,15,0,0
Italy,Latvia,10,17,15,2,17,10,11,1,0
Italy,Lithuania,12,15,4,15,5,9,10,2,1
Italy,Moldova,9,7,1,6,9,6,2,5,10
Italy,Netherlands,2,4,2,5,8,2,7,10,4
Italy,Norway,5,13,12,9,13,13,6,0,5
Italy,Portugal,3,12,13,11,14,11,5,0,6
Italy,Slovenia,17,9,17,3,16,12,17,0,0
Italy,Switzerland,4,2,16,7,6,5,13,6,0
Italy,Ukraine,7,3,3,8,7,4,1,7,12
Latvia,Albania,16,16,16,15,15,16,16,0,0
Latvia,Armenia,7,3,10,9,5,9,7,2,4
Latvia,Austria,11,12,12,16,14,13,10,0,1
Latvia,Bulgaria,15,14,14,12,11,15,15,0,0
Latvia,Croatia,10,11,11,10,4,11,14,0,0
Latvia,Denmark,3,5,8,3,12,5,9,6,2
Latvia,Greece,5,4,2,5,1,2,13,10,0
Latvia,Iceland,1,6,13,8,2,3,6,8,5
Latvia,Lithuania,13,10,5,4,7,10,2,1,10
Latvia,Moldova,14,13,15,14,10,14,3,0,8
Latvia,Netherlands,8,8,4,11,3,8,8,3,3
Latvia,Norway,4,2,3,6,16,4,4,7,7
Latvia,Portugal,6,7,9,2,9,6,5,5,6
Latvia,Slovenia,12,15,6,13,13,12,12,0,0
Latvia,Switzerland,2,9,7,7,8,7,11,4,0
Latvia,Ukraine,9,1,1,1,6,1,1,12,12
Lithuania,Albania,13,11,16,16,14,14,16,0,0
Lithuania,Armenia,12,14,7,12,9,11,7,0,4
Lithuania,Austria,16,15,15,14,16,16,12,0,0
Lithuania,Bulgaria,11,9,14,10,11,12,15,0,0
Lithuania,Croatia,14,16,11,13,13,13,13,0,0
Lithuania,Denmark,9,13,6,8,2,6,10,5,1
Lithuania,Greece,6,1,4,7,5,5,11,6,0
Lithuania,Iceland,10,7,9,4,7,7,9,4,2
Lithuania,Latvia,7,8,12,5,10,9,2,2,10
Lithuania,Moldova,8,10,10,11,12,10,4,1,7
Lithuania,Netherlands,2,5,5,3,6,3,5,8,6
Lithuania,Norway,5,6,8,9,8,8,6,3,5
Lithuania,Portugal,4,4,3,6,4,4,3,7,8
Lithuania,Slovenia,15,12,13,15,15,15,14,0,0
Lithuania,Switzerland,3,3,2,1,1,2,8,10,3
Lithuania,Ukraine,1,2,1,2,3,1,1,12,12
Moldova,Albania,16,16,16,9,15,15,16,0,0
Moldova,Armenia,7,4,5,3,7,5,4,6,7
Moldova,Austria,13,14,14,16,16,16,9,0,2
Moldova,Bulgaria,14,9,15,12,14,13,6,0,5
Moldova,Croatia,15,12,13,14,10,14,11,0,0
Moldova,Denmark,8,13,11,15,12,12,8,0,3
Moldova,Greece,3,3,6,2,9,3,10,8,1
Moldova,Iceland,9,7,8,6,11,8,12,3,0
Moldova,Latvia,6,10,4,10,3,7,14,4,0
Moldova,Lithuania,10,15,12,13,8,11,5,0,6
Moldova,Netherlands,12,8,10,7,6,9,3,2,8
Moldova,Norway,4,5,7,4,4,4,2,7,10
Moldova,Portugal,5,6,3,8,5,6,7,5,4
Moldova,Slovenia,11,11,9,11,13,10,13,1,0
Moldova,Switzerland,2,2,2,5,1,2,15,10,0
Moldova,Ukraine,1,1,1,1,2,1,1,12,12
Netherlands,Albania,13,14,10,8,16,14,14,0,0
Netherlands,Armenia,11,3,4,9,4,7,3,4,8
Netherlands,Austria,15,13,6,16,13,13,16,0,0
Netherlands,Bulgaria,10,15,15,10,12,15,15,0,0
Netherlands,Croatia,5,8,5,6,10,8,12,3,0
Netherlands,Denmark,8,10,8,12,11,12,11,0,0
Netherlands,Greece,6,2,14,1,1,1,8,12,3
Netherlands,Iceland,2,7,16,3,6,6,7,5,4
Netherlands,Latvia,14,16,9,15,14,16,10,0,1
Netherlands,Lithuania,16,6,11,5,9,9,6,2,5
Netherlands,Moldova,7,9,12,13,7,11,2,0,10
Netherlands,Norway,1,11,1,11,8,5,4,6,7
Netherlands,Portugal,3,1,13,4,3,2,5,10,6
Netherlands,Slovenia,12,12,3,14,15,10,13,1,0
Netherlands,Switzerland,9,5,7,2,2,4,9,7,2
Netherlands,Ukraine,4,4,2,7,5,3,1,8,12
Norway,Albania,12,7,15,15,13,13,13,0,0
Norway,Armenia,10,5,5,1,3,4,6,7,5
Norway,Austria,7,15,12,11,14,11,8,0,3
Norway,Bulgaria,9,14,16,12,15,16,15,0,0
Norway,Croatia,11,16,11,14,11,15,14,0,0
Norway,Denmark,3,10,10,5,7,8,7,3,4
Norway,Greece,1,6,1,2,5,1,1,12,12
Norway,Iceland,14,9,13,7,6,9,4,2,7
Norway,Latvia,13,11,9,16,9,12,12,0,0
Norway,Lithuania,4,2,14,10,8,6,3,5,8
Norway,Moldova,8,13,6,8,16,10,5,1,6
Norway,Netherlands,5,4,2,4,2,3,10,8,1
Norway,Portugal,6,1,7,3,1,2,9,10,2
Norway,Slovenia,15,12,8,13,12,14,16,0,0
Norway,Switzerland,16,8,4,6,4,7,11,4,0
Norway,Ukraine,2,3,3,9,10,5,2,6,10
Portugal,Albania,16,16,16,12,12,16,14,0,0
Portugal,Armenia,7,7,6,7,9,8,6,3,5
Portugal,Austria,15,12,15,3,13,11,15,0,0
Portugal,Bulgaria,11,13,13,16,16,15,16,0,0
Portugal,Croatia,10,11,7,10,14,13,10,0,1
Portugal,Denmark,6,14,11,9,11,12,8,0,3
Portugal,Greece,5,9,3,6,4,6,7,5,4
Portugal,Iceland,1,5,10,1,3,2,9,10,2
Portugal,Latvia,3,1,2,5,1,1,12,12,0
Portugal,Lithuania,4,10,12,2,2,5,5,6,6
Portugal,Moldova,14,4,14,15,8,10,2,1,10
Portugal,Netherlands,2,6,5,4,7,3,3,8,8
Portugal,Norway,13,8,4,11,10,9,4,2,7
Portugal,Slovenia,9,15,9,13,15,14,13,0,0
Portugal,Switzerland,8,2,8,14,6,7,11,4,0
Portugal,Ukraine,12,3,1,8,5,4,1,7,12
Slovenia,Albania,12,15,16,13,15,15,5,0,6
Slovenia,Armenia,10,9,13,14,11,10,11,1,0
Slovenia,Austria,14,14,15,12,13,14,13,0,0
Slovenia,Bulgaria,16,16,14,16,16,16,16,0,0
Slovenia,Croatia,6,2,5,3,3,3,1,8,12
Slovenia,Denmark,13,13,8,11,14,12,10,0,1
Slovenia,Greece,4,7,2,4,5,6,3,5,8
Slovenia,Iceland,11,11,12,15,10,13,12,0,0
Slovenia,Latvia,9,8,9,9,8,8,15,3,0
Slovenia,Lithuania,1,3,7,2,1,1,6,12,5
Slovenia,Moldova,15,10,11,10,12,11,4,0,7
Slovenia,Netherlands,2,6,3,1,6,2,8,10,3
Slovenia,Norway,8,12,10,8,7,9,7,2,4
Slovenia,Portugal,3,4,1,7,9,5,9,6,2
Slovenia,Switzerland,7,5,4,5,2,7,14,4,0
Slovenia,Ukraine,5,1,6,6,4,4,2,7,10
Switzerland,Albania,12,16,16,16,13,16,3,0,8
Switzerland,Armenia,5,14,7,7,8,10,6,1,5
Switzerland,Austria,16,12,14,15,10,15,7,0,4
Switzerland,Bulgaria,15,11,9,11,15,14,15,0,0
Switzerland,Croatia,13,6,8,8,9,11,5,0,6
Switzerland,Denmark,2,8,4,12,11,6,13,5,0
Switzerland,Greece,3,2,3,5,4,2,12,10,0
Switzerland,Iceland,7,7,5,4,6,5,10,6,1
Switzerland,Latvia,9,1,13,13,12,9,14,2,0
Switzerland,Lithuania,10,5,6,10,5,8,8,3,3
Switzerland,Moldova,8,10,15,14,7,12,4,0,7
Switzerland,Netherlands,1,4,1,1,3,1,9,12,2
Switzerland,Norway,4,3,12,9,2,4,11,7,0
Switzerland,Portugal,11,15,2,3,14,7,1,4,12
Switzerland,Slovenia,14,13,11,6,16,13,16,0,0
Switzerland,Ukraine,6,9,10,2,1,3,2,8,10
Ukraine,Albania,16,15,16,16,11,16,16,0,0
Ukraine,Armenia,2,3,1,1,7,2,9,10,2
Ukraine,Austria,14,12,15,7,10,13,8,0,3
Ukraine,Bulgaria,6,7,11,13,12,11,14,0,0
Ukraine,Croatia,7,9,9,12,5,8,13,3,0
Ukraine,Denmark,8,8,5,6,3,6,11,5,0
Ukraine,Greece,11,5,3,3,6,4,10,7,1
Ukraine,Iceland,9,6,6,8,8,7,3,4,8
Ukraine,Latvia,13,13,7,10,9,12,6,0,5
Ukraine,Lithuania,12,14,12,14,13,14,1,0,12
Ukraine,Moldova,3,11,14,9,16,9,2,2,10
Ukraine,Netherlands,1,4,4,2,1,1,5,12,6
Ukraine,Norway,10,10,13,11,4,10,4,1,7
Ukraine,Portugal,4,1,2,4,2,3,7,8,4
Ukraine,Slovenia,15,16,10,15,15,15,15,0,0
Ukraine,Switzerland,5,2,8,5,14,5,12,6,0
